# Lid-driven cavity centreline profiles
# Re = 1000, mesh cells = 6372

# y, Ux_sim
0.929648, -0.399282
0.934673, -0.399282
0.939698, -0.399282
0.944724, -0.346829
0.949749, -0.302883
0.954774, -0.302883
0.959799, -0.302883
0.964824, -0.234758
0.969849, -0.201033
0.974874, -0.201033
0.979899, -0.098382
0.984925, -0.098382
0.989950, -0.098382
0.994975, -0.055260
1.000000, -0.055260


# x, Uy_ghia
0.000000, 0.000000
0.062500, 0.274850
0.070300, 0.290120
0.078100, 0.303530
0.093800, 0.326270
0.156300, 0.370950
0.226600, 0.330750
0.234400, 0.322350
0.500000, 0.025260
0.804700, -0.319660
0.859400, -0.426650
0.906300, -0.515500
0.945300, -0.391880
0.953100, -0.337140
0.960900, -0.276690
0.968800, -0.213880
1.000000, 0.000000
